Date,Offence Category,Offence,Victim Tally,County,Specific Area,Victim Gender,Victim Age,Perpetrator Tally,Perpetrator Gender,Perpetrator Age,Motive,Weapon,Source,Case Summary,Year,Month,Quarter
2025-01-06,Homicide & Unlawful Killing,Murder,1,Nakuru,,Male,,,Unknown,,Business rivalry,Unknown,The Standard Pg 5,A family in Kinangop are seeking for justice after their son who went missing for four days found dumped in a water pan at MwendaAndu Village. The investigations have been launched.,2025,2025-01,2025 Q1
2025-01-06,Homicide & Unlawful Killing,Murder,1,Kirinyaga,,Male,,,Unknown,,Unknown,Unknown,Daily Nation Pg 17,"A 48 year Old George Githinji who went missing on 19 December 2024 was found brutally murdered and his body dumped in a rice canal. Besides that, he was last seen when he withdrewed money from an M-pesa shop before dissappearing.",2025,2025-01,2025 Q1
2025-01-06,Homicide & Unlawful Killing,Grievous Harm And Murder,2,Mombasa,,Male and Female,,2.0,Male,,Unknown,Crowbar and knife,Daily Nation Pg 17,Two armed men raided the house of Ms. Aisha Aboubakar an IEBC official at 3AM and claimed her life and injured her son while trying to rescue his mum. The Homicides detectives are investigating the matter.,2025,2025-01,2025 Q1
2025-01-07,Traffic & Safety Offences,Reckless Driving,32,Nakuru,,Male and Female,,1.0,Male,,Wreckless driving,Vehicle,The Standard Pg 11,"Another fatal accident was reported along the Nakuru - nairobi Highway involving a matatu and mini-bus, where witnesses accounted the mini-bus overtaking and ramming the matatu head on leaving 32 passangers injured from both vehicles.",2025,2025-01,2025 Q1
2025-01-07,Traffic & Safety Offences,Reckless Driving,3,Murang'a,,Male and Female,,1.0,Male,,Wreckless driving,Vehicle,The Standard Pg 11,"A fatal accident was reported in Murang'a county involving two PSVs- Nakkons sacco and Murang'a shuttle sacco along Kenol road, witnesses reported the Nakkon matatu was at a high speed and ended losing control raming the Murang'a shuttle matatu head on, victims rushed to Murang'a level 5 hsptl, ",2025,2025-01,2025 Q1
2025-01-07,Homicide & Unlawful Killing,Murder,1,Nakuru,,Female,,1.0,Male,,Unknown,Unknown,The Standard Pg 10,"The police in Nakuru are on a man hunt for a suspect-husband after murder of a middle aged woman, 36yr old found dead on her bed in their new rental house in Shalom Estate, Bahati several days after she was reported missing. The suspect left behind his phone and motorbike while the Sub-County Police Commissioner L. Wachira is confident detectives will catch up to the suspected perpetrator.",2025,2025-01,2025 Q1
2025-01-07,Homicide & Unlawful Killing,Murder,1,Laikipia,,Female,,,Unknown,,Unknown,Knife and Panga,The Standard Pg 7,"Reports of murder in Gatundia town left villagers shocked as an elderly woman, Lucy Wanjiru Ndungu was found dead, throat slit with a knife and body hacked lying in a pool of blood where her Husband raised alarm to the neighbours on retreating home from a sunday service in church.",2025,2025-01,2025 Q1
2025-01-07,"Robbery, Theft & Burglary",Stealing,2,Siaya,,Male,,,Unknown,,Financial gain,Unknown,The Standard Pg 7,Residents of Usigu Sub-County in Bondo count heavy losses linked to the rise of scrap metal theft from households to construction sites; Peter Omodni and Daniel Amara are among the victims who've reported theft incidence at Usenge Police station in their homes but no suspect have been uprehended.,2025,2025-01,2025 Q1
2025-01-07,"Robbery, Theft & Burglary",Assault And Robbery,1,Nairobi,,Unknown,,1.0,Male,,Financial gain,Large Stone,Daily Nation Pg 16,"The siblings who were brutally assaulted at Nairobi’s Southern Bypass last week have positively identified the machete-wielding man suspected of executing the attack. The suspect was arrested three days ago by police officers on patrol at the same road, shortly after robbing another family whose car had hit a large stone that he had placed on the road.",2025,2025-01,2025 Q1
2025-01-07,Drugs & Contraband,Drug Possession,1,Kajiado,,Male and Female,,7.0,Male and Female,,Drug Trafficking,Meth,The Standard Pg 8,"Betty Mukami Micheni, Israel Alvarado, Egwu Ogba Mba, Ojukwu Awu - A Kenyan, Mexican, and Nigerian individuals respectively face charges of possessing proceeds of crime, operating a clandestine lab in Namanga, Kajiado county, which produces Meth drug. The Kenyan had two passports one from India where some of the chemical substances originated from, while the Nigerians had no work permits. ",2025,2025-01,2025 Q1
2025-01-07,Homicide & Unlawful Killing,Murder,3,Mombasa,,Male,,1.0,Male,,Wreckless driving,Vehicle,Daily Nation Pg 15,"Tragedy has struck a family that lost two brothers in a road accident on Christmas Day, after their third brother died on New Year’s Eve as burial preparations were ongoing. The family from Jakaba village in Mariakani Ward lost their two sons in a December 25 morning accident at the Dam View area on Kaloleni-Mariakani road. Their third son, Brian Sanya Odeya, 24, succumbed to injuries at the ICU at the Coast General Hospital on December 31 at 1:30pm. Sanya was with his two deceased brothers, Benjamin Dubi, 27, and Oscar Okumu, 25, among other youths who were heading home after attending a Mr and Miss Mariakani Beauty Pageant at Atlantis Hotel when they were hit by a speeding car driven by a Kilifi County government staff member. During the crash, three people were pronounced dead on the spot while a fourth one died while undergoing treatment at Mariakani Health Centre, and others were fighting for their lives after sustaining severe head and body injuries.",2025,2025-01,2025 Q1
2025-01-07,Homicide & Unlawful Killing,Murder And Burglary,1,Mombasa,,Female,,2.0,Male,,Burglary,Unknown,Daily Nation Pg 15,"Reports of murder; Kilifi County elections manager Aisha Abubakar in Mombasa have deepened after it was confirmed that crucial electoral equipment and documents were stolen from the house, indications that the attackers wanted her dead. Her eldest son, Mr Abubakar Salim, yesterday said they were convinced that the two men were out to kill. However, this was not captured in a police report which detailed the incident. According to the report, the items stolen were mobile phones, a 65-inch TV, sound system, and an iPad.",2025,2025-01,2025 Q1
2025-01-07,Fraud & Financial Crimes,Fraud,1,Nairobi,,Unknown,,3.0,Male,,Financial gain,Forged documents,Daily Nation Pg 11,"A Dubai-based firm has sued a gold-trading company seeking a refund of more than Sh63 million it paid for the precious metal in June but was never delivered as agreed. SH Trading DMCC says in court documents that it paid $489,950 for purchase of 700 kilogrammes of gold to be delivered in Dubai on June 5, 2024 by Kerongwe & Sons General Traders Ltd and its Chief Executive Officer John Kerongwe Mwita who were referred through contacts at the Kenyan Ministry of Mining, hence the firm had total confidence when dealing with them or the contacts that they provided. The lawyer said they produced the evaluation certificate dated May 24, 2024 of the gold samples allegedly determined by the Ministry of Mining, Blue Economy and Maritime Affairs. The firm said it demanded from Mr Kerongwe, who was acting together with Bulk Cargo Logistics Ltd, Mr Damian Chacha and Mr Edwin Hadad the gold bars and were physically produced during a meeting the sellers’ offices in Spring Valley.",2025,2025-01,2025 Q1
2025-01-07,Fraud & Financial Crimes,Embezzlement Of Public Funds,1,Unknown,,Male and Female,,,Male and Female,,Financial gain,Unknown,Daily Nation Pg 8,"An audit report released in December last year, reveals serious mismanagement of the National Government-Constituency Development Fund (NG-CDF) bursary kitties, that millions of bursary cash meant for needy learners could be ending up in the pockets of a few corrupt officers and MPs. Bursaries are issued to non-existent learners. Further, no details of names of the learning institutions, bank details, bursary amounts, full names of beneficiaries and their admission numbers or acknowledgement letters or receipts from institutions hosting the learners were presented. The affected constituencies include Sabatia, Rongo, Nakuru East, Narok West and Embakasi North. Others are Webuye East,Turbo, Suba North, Sotik, Nyaribari Chache, Naivasha, Mwingi Central, Mogotio, Olkalou, Nyakach, Malindi and Westlands.",2025,2025-01,2025 Q1
2025-01-07,Abduction & Kidnapping,Abduction,6,Nairobi,,Male,,,Unknown,,Intimidation,Gun and Vehicle,Daily Nation Pg 6,Five of the six young men were released yesterday in a seemingly coordinated manner across the country. The youth all have one thing in common—they have created or posted images and text critical of President Ruto’s administration on social media. Weeks after Inspector-General of Police Douglas Kanja released a statement saying his officers had nothing to do with the abductions—and promising to investigate—questions linger on the squads operating with impunity and with the capacity to track their targets with precision.,2025,2025-01,2025 Q1
2025-01-07,Fraud & Financial Crimes,Embezzlement Of Public Funds,1,Elgeyo Marakwet,,Male and Female,,,Unknown,,Financial gain,Unknown,Daily Nation Pg 2,"According to a 7 January 2025 publication in Daily Nation, the Auditor-General’s report flagged unexplained expenditure of approximately KSh 147.7 million by the Kenya Water Towers Agency on a purported bamboo-planting/forest-conservation project in Kaptagat Forest — a project now described as a “ghost” initiative because there is no verifiable evidence that any meaningful work was done. This strongly suggests that public funds intended for environmental conservation were misused or misappropriated. The lack of delivery combined with absence of transparency points to either gross mismanagement or deliberate diversion of funds. The motive appears to be enrichment or benefit of insiders under the guise of a conservation project, facilitated by weak oversight. Because KWTA was dissolved in December 2024 (after its founding legal instrument expired), the institutional restructuring may muddy the waters in terms of accountability, asset traceability, and follow-up on what happened to funds.",2025,2025-01,2025 Q1
2025-01-07,"Robbery, Theft & Burglary",Assault And Robbery,4,Nairobi,,Male and Female,,1.0,Male,,Financial gain,Machete and Large Stone,Daily Nation Pg 16,"The siblings who were brutally assaulted at Nairobi’s Southern Bypass last week have positively identified the machete-wielding man suspected of executing the attack. The suspect was arrested three days ago by police officers on patrol at the same road, shortly after robbing another family whose car had hit a large stone that he had placed on the road. She, alongside her sister, were the only ones who saw the suspect as their two brothers had passed out after being attacked by the criminal, sustaining injuries to the chest and necks. The victim, who sustained a cut on the face and a fracture, recounted how they were targeted by the robber after she parked their car at the side of the road when their car hit a huge stone and burst two tyres.",2025,2025-01,2025 Q1
2025-01-08,Fraud & Financial Crimes,Fraud,1,Nairobi,,Male and Female,,,Unknown,,Financial gain,Unknown,Daily Nation Pg 8,Investigations by the National Assembly into the Sh21 billion siphoned from the National Health Insurance Fund (NHIF) in fictitious payments through Incurred But Not Reported (IBNR) claims have gone quiet. The investigations arose from a petition filed in the National Assembly by Mr Bernard Muchere – a former internal auditor at the National Treasury – currently a fraud risk assessment consultant.,2025,2025-01,2025 Q1
2025-01-08,Homicide & Unlawful Killing,Murder,1,Mombasa,,Male,,1.0,Male,,Disarm and Uprehend,Firearm,Daily Nation Pg 10,"Hamisi Ibrahim, 14, left his grandmother’s house to join his friends in the Kwadziwe area of Likoni. Moments later, gunshots were heard in the neighbourhood and the teenager was left lying in a pool of blood. His family is now mourning the tragic death of the Grade 9 student at Mrima Primary School, who was fatally shot by police under unclear circumstances. However, the police claimed that the boy was a member of a criminal gang that has been robbing residents while armed with pangas. ",2025,2025-01,2025 Q1
2025-01-08,"Robbery, Theft & Burglary",Armed Robbery,1,Mombasa,,Unknown,,3.0,Male,,Financial gain,Machete,Daily Nation Pg 10,"The police claimed that the boy was a member of a criminal gang that has been robbing residents while armed with pangas. Likoni Sub-County Police Commander Geoffrey Ruheni said a distress call was made to the Inuka Police Station at 9:18am that there were criminals robbing people at Masjid Ghazal village. Mr Ruheni said officers who were dispatched to the scene found three armed juveniles robbing passersby. “When challenged, the said thugs turned against them with pangas, which prompted them to fire a shot in the air but the thugs kept on advancing towards them. Unfortunately, one was shot dead and the others managed to escape by mingling with the public,” he said. Witnesses said the police who shot the teenager in the head were not in uniform.",2025,2025-01,2025 Q1
2025-01-08,Homicide & Unlawful Killing,Murder,1,Nandi,,Male,,2.0,Male and Female,,Organ Harvesting,Knife,Daily Nation Pg 12,"Police in Kapsabet town are holding a former nominated member of the county assembly (MCA) after her son became the prime suspect in a murder committed in Chemase, Nandi County. In the matter suspected to be a case of organ harvesting, the police on Monday said that Ms Carren Atieno Amuga is the mother of the main suspect in the murder of Enock Kipsang, who was beheaded and his private parts chopped off. Meanwhile, a manhunt has been launched for other suspects still at large. The case comes days after the public stormed Chemase Police Post and stoned a murder suspect to death and then burned his body. The suspect, identified as Victor Kimutai, 30, was being held in connection with Kipsang’s murder. Tinderet police boss Johnson Mwariga said that the suspect confessed to committing the crime and even escorted detectives to where he had reportedly hidden Kipsang’s head and other body parts.",2025,2025-01,2025 Q1
2025-01-08,Assault & Bodily Harm,Threat To Life,1,Samburu,,Male,,,Male,,Kill,Firearm,Daily Nation Pg 13,"Former Principal Secretary Richard Lesiyampe yesterday reported to police an alleged plot against his life. Dr Lesiyampe, who served as the Agriculture PS in the Jubilee administration, recorded a statement with the Directorate of Criminal Investigations (DCI) at the Maralal Police Station. He expressed concerns for his safety following a gun attack on a car he had used last week.",2025,2025-01,2025 Q1
2025-01-09,Homicide & Unlawful Killing,Manslaughter,1,Nakuru,,Male,,2.0,Male and Female,,Negligence,Unknown,Daily Nation Pg 20,"Festus Muthui, 26, died in police custody in Nakuru after suffering severe head injuries from blunt trauma, allegedly inflicted by police officers, while also being subjected to unlawful detention and extortion.",2025,2025-01,2025 Q1
2025-01-09,Land & Eviction Offences,Trespass,100,Uasin Gishu,,Unknown,,1.0,Male,,Family property dispute,Unknown,Daily Nation Pg 20,"Amid a multi-billion-shilling succession dispute over Jackson Kibor’s estate, his children unlawfully attempted to evict tenants from a commercial building in Eldoret City, prompting police intervention and charges for trespass and disturbance of the peace.",2025,2025-01,2025 Q1
2025-01-09,"Robbery, Theft & Burglary",Armed Robbery,2,Kajiado,,Unknown,,1.0,Male,,Financial gain,Firearm,Daily Nation Pg 20,"The suspect entered the shop pretending to be a customer, then used a pistol to demand money and steal Sh20,000 from the cash box.",2025,2025-01,2025 Q1
2025-01-09,Organized Crime & Terrorism,Vigilantism,1,Kajiado,,Male,,,Unknown,,Punishment,Unknown,Daily Nation Pg 20,"A 25-year-old man attempted an armed robbery at a mobile shop in Kitengela, Kajiado East, and was overpowered by the public, resulting in his death, highlighting both armed robbery and mob justice as criminal elements.",2025,2025-01,2025 Q1
2025-01-09,Fraud & Financial Crimes,Tax Evasion,1,Nairobi,,Unknown,,1.0,Male,,Financial gain,Unknown,Daily Nation Pg 2,"KRA alleges that political activist Morara Kebaso and his businesses failed to file income tax and VAT returns on Sh186 million earned over three years, potentially committing tax evasion amounting to Sh27 million, while he denies wrongdoing and claims political persecution.",2025,2025-01,2025 Q1
2025-01-09,Sexual & Gender-Based Violence,Defilement,1,Uasin Gishu,,Female,,1.0,Male,,Unknown,Unknown,The Standard Pg 3,"Geoffrey Ouro accused of defiling and impregnating a 16 years old girl, DNA will be tested to check if he is the real father of the unborn chiild.",2025,2025-01,2025 Q1
2025-01-09,Homicide & Unlawful Killing,Abduction And Murder,4,Machakos,,Male,,,Unknown,,Unknown,Vehicle,The Standard Pg 3,"Four men from Mlolongo, Machakos County, were abducted by unknown armed individuals, two were later found dead, and the remaining two remain missing, constituting kidnapping and possible murder.",2025,2025-01,2025 Q1
2025-01-10,Assault & Bodily Harm,Grievous Harm,1,Murang'a,,Female,,1.0,Male,,Emotional outburst,Lighter,The Standard Pg 20,"A mother of four is fighting for her life at Murang'a Level Five Hospital after her live-In boyfriend-doused her with paraffin and set her on fire following a dispute over food. Joyce Wanja, a resident of Maragua Ridge village, was rescued on Wednesday morning and rushed to the hospital She was refered for specialized treatment at Kenyatta National Hospital in Nairobi. Wanja's sister, Mary Wangari said trouble started when the boyfriend demanded to be served with food at Sam, Police are looking for the suspect",2025,2025-01,2025 Q1
2025-01-13,"Robbery, Theft & Burglary",Stealing,1,Kilifi,,Unknown,,2.0,Unknown,,Financial gain,Unknown,The Standard Pg 18,"Kilifi County staffs that is a Driver and a staff at Health Department were arrested after medicines and equipments woth Ksh. 100,000 stolen from Bamba Hospital were recovered from a private chemist.",2025,2025-01,2025 Q1
2025-01-13,Abduction & Kidnapping,Abduction,1,Nairobi,,Female,,3.0,Male,,Unknown,Black Vehicle,Daily Nation Pg 5,"Tanzanian Rights Activist Maria Sarungi was abducted by three armed men in Chaka in Kilimani, Nairobi Kenya  who took her using black vehicle. Besides that, the incident followed after she posted Mr. Tundu Lissu on her instagram account saying that the current regime of Tanzania want to silence Mr. Lissu.",2025,2025-01,2025 Q1
2025-01-13,Abduction & Kidnapping,Child Stealing,1,Nakuru,,Female,,1.0,Female,,Marital satisfaction,Snacks,Daily Nation Pg 15,"The Nakuru family whose daughter went missing for 90 days was found in Maili Kumi, Bahati Sub-County with the woman who was captured stealing her by CCTV. The Landlady of the rents where that woman lived, disclosed the information about the whereabout of Baby Maya Kerubo after contacting her grandmother, the police arrested that woman who later said that, she did all that so that she can please her husband.",2025,2025-01,2025 Q1
2025-01-14,Homicide & Unlawful Killing,Murder,1,Nakuru,,Unknown,,1.0,Female,,Postpartum rage,Unknown,The Standard Pg 2,"A woman escaped being lynched by mob in Kihoto estate Naivasha from fired gun shots which dispersed the angry community, the woman had just given birth and threw the infant inside a latrine toilet and efforts to rescue the baby were unsuccessful.",2025,2025-01,2025 Q1
2025-01-14,Drugs & Contraband,Illicit Trade,1,Bungoma,,Male and Female,,5.0,Male,,Financial gain,Ethanol,The Standard Pg 5,"The Police and KRA bust intricate web of ethanol smuggling from Uganda and counterfeit alcohol production, transported to unlicensed distillers who produce second generation alcohol leading to loss of tax revenues and danger to consumers.",2025,2025-01,2025 Q1
2025-01-14,Homicide & Unlawful Killing,Murder,1,Nakuru,,Male,,2.0,Male and Female,,Unknown,Acid,The Standard Pg 11,"Reports of Murder of Father - Elijah Maina Matoke by Mother and Son - Ruth Chelagat and Godwin Amutamwa in Kaptembwa Nakuru town, the two doused the Man in acid where he succumbed to burns after five days.",2025,2025-01,2025 Q1
2025-01-15,Fraud & Financial Crimes,Forgery,1,Kisumu,,Male and Female,,1.0,Male,,Employment,Forged documents,The Standard Pg 10,"The Ethics and Anti-Corruption Commission (EACC) has arrested former Kisumu County Director of ICT Nick Migot. He is expected to face charges related to forgery of academic certificates. EACC spokesman Erick Ngumbl said Migot was also accused of using the fake academic certificates to secure employment with the county government. ""He defrauded the public through salary received over a period of three (3) years, during which he earned Sh4,656,211, sald Ngumbi. He said Investigations revealed the suspect forged a Bachelor of Science (BSC) In Computer Science degree certificate, falsely attributing It to the Jomo Kenyatta University of Agriculture and Technology.",2025,2025-01,2025 Q1
2025-01-16,Assault & Bodily Harm,Assault,1,Nairobi,,Male,,,Male,,Political retaliation,Unknown,The Standard Pg 13,"Kitsuru MCA Alvin Olando was assaulted by goons in Nairobi CBD on January 14, 2025, blaming senior politicians like Governor Sakaja for political motives, as reported in The Standard on January 16.",2025,2025-01,2025 Q1
2025-01-16,Fraud & Financial Crimes,Forgery And Fraud,1,Nakuru,,Unknown,,7.0,Male,,Resource gain,Unknown,Daily Nation Pg 20,"Hospital directors and collaborators allegedly used forged documents and fraudulent claims to illegally obtain a 50-year lease extension on Nakuru War Memorial Hospital land, committing forgery, fraud, and abuse of office.",2025,2025-01,2025 Q1
2025-01-16,Assault & Bodily Harm,Extortion And Assault,2,Nairobi,,Male and Female,,1.0,Male,,"Financial gain, Anger and confrontation",Unknown,Daily Nation Pg 14,"A Deputy OCS from Machakos County unlawfully deployed himself as a traffic officer in Nairobi, attempted to extort KSh 15,000 from a female motorist, and assaulted a fellow officer who intervened, leading to his arrest.",2025,2025-01,2025 Q1
2025-01-16,"Robbery, Theft & Burglary",Robbery With Violence,3,Kilifi,,Male and Female,,6.0,Male and Female,,Robbery with violence,Firearm,Daily Nation Pg 2,"A coordinated gang carried out a violent, armed robbery at former Kilifi Deputy Governor Kenneth Kamto’s Nyali home, fatally shooting him, and were later linked to the crime through phone records, leading to multiple convictions.",2025,2025-01,2025 Q1
2025-01-17,Homicide & Unlawful Killing,Murder,1,Kiambu,,Male,,1.0,Female,,Love affair,Knife,Daily Nation Pg 10,"The family of Jane Nyabuto received unusual calls from friends and police. The callers informed the family that her son Conrad had died after being stabbed 27 times by his girlfriend Salome Wanjiru. Conrad, who had cleared a course at Cooperative University in Karen in 2020, had visited Ms Wanjiru at her house in Kamakis, Ruiru. His mission was to resolve their differences. Neighbours and friends said things did not go as planned, leading to a confrontation. Neighbours said they heard screams and had to break the door to the house. They found Conrad lying in a pool of blood.",2025,2025-01,2025 Q1
2025-01-17,Assault & Bodily Harm,Torture,1,Nyeri,,Male,,5.0,Male,,Extortion,Batons,Daily Nation Pg 20,"Mr Simon Mwangi Githinji set out for what he thought would be an ordinary day. About a kilometre from home near Solio Ranch, Mr Githinji says he was stopped by five men armed with batons. He was looking for firewood. “They men claimed to be security officers patrolling the ranch and accused me of trespassing. I told them I had not entered the ranch but was on a public road nearby. My explanation fell on deaf ears,” he says. The men, he says, ordered him to follow them to the ranch office “where the management will hear your case”. The rider says he complied. Minutes later, the conversation took a frightening turn. The men reportedly handcuffed Mr Githinji, took his mobile phone and the Sh13,000 he had in the pocket. He says on questioning their intentions, the five men responded with violence and insults.",2025,2025-01,2025 Q1
2025-01-18,Sexual & Gender-Based Violence,Incest,1,Homa Bay,,Female,,1.0,Male,,Infidelity,Unknown,The Standard Pg 3,A senior clergy man(Bishop) was found by a mother of three who had quit her marriage having sex with his biologocal daughter.The locals have been suspecting them to be having a sexual relationship.,2025,2025-01,2025 Q1
